cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11
2004-02-03,1136.030000,-0.837100,0.215700,0.056400,0.166400,-0.141600,-0.284000,-0.069300,-0.086900,-0.113100,0.020000,0.020000,0.038688,0.509000,0.507790,0.509264
2004-02-04,1126.520000,0.183700,-0.386300,-0.135700,-0.167600,-0.034600,-0.258100,-0.363600,-0.165300,-0.170200,0.030000,0.020000,0.077541,0.521896,0.522349,0.522200
2004-02-05,1128.590000,1.255600,-0.329900,-0.196700,-0.056100,-0.097600,0.001600,-0.195200,-0.295400,-0.126800,0.040000,0.020000,0.067427,0.521483,0.522741,0.521796
2004-02-06,1142.760000,-0.258100,0.715000,0.198100,0.165400,0.205100,0.127200,0.180000,-0.014200,-0.123500,0.050000,0.020000,0.033269,0.504172,0.506895,0.503693
2004-02-09,1139.810100,0.502700,0.491600,0.389600,0.083300,0.080200,0.127500,0.071800,0.124900,-0.041600,0.010000,0.020000,0.087091,0.484237,0.481522,0.484324
2004-02-10,1145.540000,1.066700,0.121600,0.494400,0.417400,0.167300,0.150800,0.181200,0.125800,0.166900,0.020000,0.020000,0.013861,0.485622,0.484073,0.485895
2004-02-11,1157.760000,-0.488000,0.779300,0.435700,0.636100,0.546700,0.317600,0.282100,0.292200,0.230900,0.030000,0.020000,0.026622,0.502068,0.502515,0.502403
2004-02-12,1152.110000,-0.546800,0.284400,0.356000,0.203500,0.409900,0.372700,0.201200,0.184600,0.204400,0.040000,0.020000,0.040775,0.492687,0.494075,0.492716
2004-02-13,1145.810100,0.975700,-0.520000,0.007800,0.130400,0.053100,0.250200,0.240800,0.107000,0.102700,0.050000,0.020000,-0.014002,0.486622,0.488892,0.486074
2004-02-17,1156.990000,-0.446900,0.211900,-0.022300,0.248200,0.298400,0.206300,0.353200,0.332300,0.203600,0.020000,0.020000,0.033761,0.492036,0.490985,0.492226
2004-02-18,1151.819900,-0.413200,0.260300,-0.008400,-0.128900,0.108900,0.173800,0.112500,0.252700,0.245100,0.030000,0.020000,0.073257,0.492473,0.492631,0.492618
2004-02-19,1147.060100,-0.257200,-0.431900,0.036200,-0.109700,-0.186000,0.022000,0.090000,0.046800,0.178600,0.040000,0.020000,0.007667,0.484632,0.485471,0.484439
2004-02-20,1144.110000,-0.272700,-0.336500,-0.374100,-0.037000,-0.139200,-0.197900,-0.017800,0.046700,0.013100,0.050000,0.020000,0.003008,0.511908,0.514803,0.511582
2004-02-23,1140.990000,-0.166500,-0.265600,-0.315500,-0.349000,-0.084000,-0.161500,-0.208600,-0.049500,0.011400,0.010000,0.020000,0.115478,0.512392,0.510079,0.513189
2004-02-24,1139.090000,0.402100,-0.220200,-0.232800,-0.278500,-0.312800,-0.097700,-0.162200,-0.203400,-0.062400,0.020000,0.020000,0.094494,0.506630,0.505060,0.507101
2004-02-25,1143.670000,0.108400,0.117400,-0.012800,-0.074200,-0.142600,-0.194000,-0.026700,-0.092000,-0.136500,0.030000,0.020000,0.045153,0.502799,0.502771,0.502707
2004-02-26,1144.910000,0.002600,0.254300,0.114400,0.017500,-0.037600,-0.100700,-0.150800,-0.009800,-0.069800,0.040000,0.020000,0.053597,0.508004,0.509545,0.507853
2004-02-27,1144.939900,0.963400,0.055500,0.170400,0.086400,0.014500,-0.030900,-0.085900,-0.131600,-0.008400,0.050000,0.020000,0.023917,0.509831,0.512438,0.509766
2004-03-01,1155.970000,-0.594300,0.480700,0.357000,0.367800,0.261500,0.172600,0.111200,0.045300,-0.009900,0.010000,0.030000,0.071009,0.499555,0.497000,0.500072
2004-03-02,1149.100000,0.168000,0.180500,0.121400,0.118200,0.174400,0.117900,0.062200,0.022300,-0.026400,0.020000,0.030000,0.069927,0.501486,0.500267,0.501771
2004-03-03,1151.030000,0.333600,-0.214800,0.176200,0.133000,0.128100,0.173300,0.125100,0.075500,0.038500,0.030000,0.030000,0.029802,0.490085,0.489918,0.489990
2004-03-04,1154.870000,0.172300,0.250200,-0.031800,0.215400,0.173000,0.162300,0.196200,0.151100,0.104200,0.040000,0.030000,0.026799,0.503083,0.504574,0.502994
2004-03-05,1156.860000,-0.835000,0.252200,0.224100,0.019300,0.206700,0.172900,0.163700,0.193100,0.153500,0.050000,0.030000,0.020638,0.490555,0.493238,0.490107
2004-03-08,1147.200000,-0.577100,-0.332900,-0.110700,-0.041200,-0.152300,0.032700,0.028400,0.038300,0.078400,0.010000,0.030000,0.067699,0.492876,0.490006,0.493322
2004-03-09,1140.580000,-1.463300,-0.711600,-0.414800,-0.227200,-0.148200,-0.223100,-0.054100,-0.047100,-0.029900,0.020000,0.030000,0.046713,0.506473,0.505252,0.506770
2004-03-10,1123.890000,-1.522400,-1.029400,-0.966400,-0.678100,-0.474200,-0.366700,-0.399800,-0.229300,-0.203600,0.030000,0.030000,0.102950,0.526513,0.526789,0.526732
2004-03-11,1106.780000,1.245900,-1.515200,-1.199000,-1.108300,-0.847400,-0.647900,-0.530200,-0.538800,-0.371000,0.040000,0.030000,0.090777,0.527843,0.528992,0.527802
2004-03-12,1120.569900,-1.435000,-0.149100,-0.597100,-0.592900,-0.643600,-0.504700,-0.383100,-0.313500,-0.345300,0.050000,0.030000,0.073628,0.521824,0.524488,0.521299
2004-03-15,1104.490000,0.562200,-0.102900,-0.582300,-0.810000,-0.763200,-0.776600,-0.637700,-0.514000,-0.437100,0.010000,0.030000,0.151697,0.529689,0.527182,0.530270
2004-03-16,1110.700000,1.174900,-0.445600,0.117500,-0.296900,-0.536800,-0.544200,-0.587700,-0.490200,-0.396700,0.020000,0.030000,0.081331,0.512976,0.511382,0.513192
2004-03-17,1123.750000,-0.127300,0.862000,0.095200,0.380500,-0.002500,-0.251600,-0.299500,-0.368800,-0.307100,0.030000,0.030000,0.081501,0.543344,0.543827,0.543985
2004-03-18,1122.319900,-1.117300,0.517300,0.531200,0.039200,0.278400,-0.023500,-0.233700,-0.277900,-0.342000,0.040000,0.030000,0.081023,0.514432,0.515978,0.514320
2004-03-19,1109.780000,-1.295800,-0.625900,-0.027400,0.118400,-0.193700,0.044800,-0.180900,-0.345200,-0.371900,0.050000,0.030000,0.026374,0.510597,0.512827,0.510043
2004-03-22,1095.400000,-0.132400,-1.220800,-0.852000,-0.343700,-0.163400,-0.377600,-0.146100,-0.320300,-0.451000,0.010000,0.030000,0.070493,0.525042,0.522704,0.525374
2004-03-23,1093.950000,-0.239500,-0.723000,-0.859900,-0.674000,-0.302100,-0.158400,-0.343000,-0.144500,-0.299800,0.020000,0.030000,0.147457,0.520607,0.519667,0.520750
2004-03-24,1091.330000,1.636500,-0.186200,-0.562400,-0.705800,-0.588100,-0.291900,-0.169900,-0.330300,-0.154900,0.030000,0.030000,0.099998,0.508298,0.507876,0.508431
2004-03-25,1109.189900,-0.101900,0.692600,0.418600,-0.013400,-0.238700,-0.219900,-0.019500,0.053100,-0.114200,0.040000,0.030000,0.024858,0.485455,0.486574,0.484679
2004-03-26,1108.060100,1.300500,0.754500,0.426500,0.287600,-0.031300,-0.215800,-0.203000,-0.029800,0.035800,0.050000,0.030000,0.020353,0.514536,0.517447,0.514469
2004-03-29,1122.470000,0.403600,0.595400,0.932400,0.643600,0.490000,0.191700,0.001900,-0.014500,0.118000,0.010000,0.030000,0.052972,0.500536,0.497979,0.501488
2004-03-30,1127.000000,-0.070100,0.842000,0.530500,0.798600,0.594600,0.475000,0.222300,0.052800,0.032600,0.020000,0.030000,0.062028,0.510586,0.509510,0.511244
2004-03-31,1126.210000,0.529200,0.166000,0.537700,0.379600,0.623600,0.482600,0.396100,0.185200,0.039000,0.030000,0.030000,0.022443,0.481919,0.481855,0.481709
2004-04-01,1132.170000,0.851500,0.228900,0.286500,0.534800,0.409200,0.607300,0.489000,0.412700,0.223800,0.040000,0.040000,0.000913,0.478330,0.479510,0.477804
2004-04-02,1141.810100,0.767200,0.686000,0.435600,0.427200,0.597400,0.482700,0.641700,0.534300,0.461700,0.050000,0.040000,-0.030117,0.475443,0.478151,0.474970
2004-04-05,1150.569900,-0.209500,0.802700,0.711300,0.517900,0.494900,0.625100,0.523200,0.656900,0.560100,0.010000,0.040000,0.041890,0.460326,0.457596,0.460582
2004-04-06,1148.160000,-0.664500,0.276200,0.464800,0.480000,0.371300,0.376400,0.504500,0.430300,0.559000,0.020000,0.040000,-0.009682,0.473244,0.471698,0.473681
2004-04-07,1140.530000,-0.106100,-0.438700,-0.037200,0.182500,0.250600,0.197800,0.226700,0.357200,0.307300,0.030000,0.040000,0.007083,0.489543,0.489732,0.489578
2004-04-08,1139.319900,0.516100,-0.387700,-0.328200,-0.054400,0.125000,0.191300,0.154400,0.185000,0.305600,0.040000,0.040000,0.032633,0.503053,0.504505,0.503272
2004-04-12,1145.200000,-1.376200,0.204400,-0.086400,-0.117400,0.059200,0.189800,0.237400,0.199500,0.221700,0.010000,0.040000,0.084142,0.487480,0.484745,0.487955
2004-04-13,1129.439900,-0.112400,-0.434400,-0.324800,-0.411000,-0.370500,-0.180500,-0.034100,0.035400,0.023800,0.020000,0.040000,0.062691,0.490051,0.488488,0.490017
2004-04-14,1128.170000,0.059400,-0.754300,-0.327700,-0.272100,-0.351800,-0.327900,-0.170900,-0.043800,0.019100,0.030000,0.040000,0.027573,0.502626,0.502564,0.502646
2004-04-15,1128.840000,0.511100,-0.026600,-0.483100,-0.231300,-0.206100,-0.283600,-0.273000,-0.142400,-0.032500,0.040000,0.040000,0.074086,0.530913,0.532675,0.531259
2004-04-16,1134.610000,0.106600,0.284500,0.152400,-0.234200,-0.083100,-0.087000,-0.170500,-0.175500,-0.070300,0.050000,0.040000,0.059993,0.507364,0.509924,0.507149
2004-04-19,1135.819900,-1.555700,0.307400,0.225000,0.140900,-0.165800,-0.051500,-0.059300,-0.135900,-0.144200,0.010000,0.040000,0.076586,0.498755,0.495834,0.499086
2004-04-20,1118.150000,0.531200,-0.730300,-0.315500,-0.221800,-0.200000,-0.399300,-0.267300,-0.247000,-0.294200,0.020000,0.040000,0.055486,0.516374,0.515232,0.516550
2004-04-21,1124.090000,1.409100,-0.523100,-0.311400,-0.105300,-0.072300,-0.079000,-0.267200,-0.168400,-0.161400,0.030000,0.040000,0.079456,0.521385,0.521633,0.521652
2004-04-22,1139.930100,0.058800,0.962000,0.121500,0.117800,0.196200,0.173400,0.132600,-0.058300,0.006000,0.040000,0.040000,0.072761,0.512557,0.513987,0.512727
2004-04-23,1140.600000,-0.444500,0.724000,0.659400,0.105700,0.105900,0.173100,0.156900,0.123300,-0.045200,0.050000,0.040000,0.019840,0.476915,0.479224,0.475929
2004-04-26,1135.530000,0.227200,-0.193300,0.334900,0.382800,-0.005100,0.013500,0.084400,0.081300,0.059800,0.010000,0.040000,0.017334,0.487186,0.484287,0.487457
2004-04-27,1138.110000,-1.379500,-0.109500,-0.053300,0.307900,0.351500,0.033700,0.044100,0.102200,0.097500,0.020000,0.040000,0.042902,0.516372,0.515626,0.517028
2004-04-28,1122.410000,-0.759100,-0.580400,-0.535600,-0.386200,-0.029600,0.062600,-0.169300,-0.134700,-0.063100,0.030000,0.040000,0.107759,0.518508,0.518704,0.518898
2004-04-29,1113.890000,-0.591600,-1.083000,-0.641300,-0.592200,-0.460800,-0.150200,-0.053800,-0.242800,-0.203800,0.040000,0.040000,0.043692,0.498598,0.499385,0.498127
2004-04-30,1107.300000,0.920300,-0.680300,-0.921500,-0.629900,-0.592800,-0.482800,-0.212600,-0.120300,-0.281300,0.050000,0.040000,0.041696,0.515448,0.518237,0.514642
2004-05-03,1117.490000,0.184300,0.161800,-0.147400,-0.462200,-0.322200,-0.343100,-0.284900,-0.073200,-0.006500,0.010000,0.050000,0.116844,0.505779,0.503260,0.506339
2004-05-04,1119.550000,0.176900,0.547600,0.169200,-0.064200,-0.332600,-0.237800,-0.268000,-0.226600,-0.044800,0.020000,0.050000,0.091131,0.510727,0.509226,0.511275
2004-05-05,1121.530000,-0.672300,0.180300,0.423700,0.171100,-0.015800,-0.247400,-0.178600,-0.212500,-0.181900,0.030000,0.050000,0.029053,0.507326,0.507288,0.507368
2004-05-06,1113.990000,-1.372500,-0.248700,-0.104300,0.149600,0.001800,-0.125800,-0.308600,-0.240600,-0.263700,0.040000,0.050000,0.054488,0.529360,0.531016,0.529422
2004-05-07,1098.700000,-1.054000,-1.031800,-0.625300,-0.421900,-0.154400,-0.227400,-0.304300,-0.442100,-0.366400,0.050000,0.050000,0.055775,0.531496,0.534234,0.531354
2004-05-10,1087.120000,0.766200,-1.229300,-1.042800,-0.733500,-0.548100,-0.303100,-0.344700,-0.397400,-0.509800,0.010000,0.050000,0.133925,0.520469,0.517762,0.520617
2004-05-11,1095.450000,0.167100,-0.148900,-0.565000,-0.593400,-0.436900,-0.332100,-0.152800,-0.208100,-0.270300,0.020000,0.050000,0.102953,0.508839,0.507458,0.508817
2004-05-12,1097.280000,-0.076600,0.463400,-0.043300,-0.381600,-0.441500,-0.336700,-0.261300,-0.113200,-0.166800,0.030000,0.050000,0.090487,0.502976,0.502913,0.502741
2004-05-13,1096.439900,-0.067500,0.045100,0.283400,-0.051600,-0.320500,-0.380800,-0.299700,-0.238400,-0.109200,0.040000,0.050000,0.023774,0.506096,0.507196,0.505974
2004-05-14,1095.700000,-1.058700,-0.072100,0.007600,0.195700,-0.054800,-0.278400,-0.336100,-0.270800,-0.219500,0.050000,0.050000,0.024111,0.531911,0.534881,0.531878
2004-05-17,1084.100000,0.681700,-0.566100,-0.402300,-0.259500,-0.055200,-0.222700,-0.390500,-0.426900,-0.358400,0.010000,0.050000,0.126810,0.533976,0.531663,0.534844
2004-05-18,1091.490000,-0.257400,-0.193500,-0.151300,-0.132600,-0.072500,0.066600,-0.094300,-0.257300,-0.304700,0.020000,0.050000,0.099580,0.508680,0.507175,0.508804
2004-05-19,1088.680100,0.046800,0.210100,-0.215100,-0.178000,-0.157600,-0.103300,0.020400,-0.114700,-0.257300,0.030000,0.050000,0.068581,0.504877,0.504828,0.504555
2004-05-20,1089.189900,0.401200,-0.105600,0.155700,-0.149500,-0.133000,-0.123600,-0.081900,0.023700,-0.096800,0.040000,0.050000,0.030302,0.490591,0.491784,0.489959
2004-05-21,1093.560100,0.169200,0.223600,0.063300,0.216800,-0.039300,-0.044000,-0.048700,-0.021600,0.065500,0.050000,0.050000,0.013099,0.512492,0.515201,0.512378
2004-05-24,1095.410000,1.610400,0.284200,0.205300,0.089800,0.207200,-0.004400,-0.013500,-0.021400,-0.000400,0.010000,0.050000,0.081745,0.505539,0.503106,0.506194
2004-05-25,1113.050000,0.169800,0.882500,0.722600,0.555000,0.393400,0.440500,0.226600,0.189800,0.160100,0.020000,0.050000,0.057676,0.487257,0.485820,0.487519
2004-05-26,1114.939900,0.568600,0.876600,0.643300,0.583000,0.476900,0.355600,0.401200,0.219400,0.187500,0.030000,0.050000,0.011005,0.487415,0.487358,0.487444
2004-05-27,1121.280000,-0.053500,0.368000,0.772400,0.623700,0.579400,0.491900,0.386100,0.422100,0.258600,0.040000,0.050000,-0.017302,0.474129,0.475419,0.473629
2004-05-28,1120.680100,0.046400,0.256000,0.227300,0.565300,0.487300,0.472900,0.413000,0.330300,0.368400,0.050000,0.050000,-0.018522,0.495719,0.498464,0.495616
2004-06-01,1121.200000,0.338000,-0.003600,0.186100,0.182000,0.461300,0.413400,0.411400,0.366700,0.298400,0.020000,0.060000,0.033608,0.479797,0.478498,0.479919
2004-06-02,1124.990000,-0.742200,0.191900,0.110200,0.223900,0.213100,0.440400,0.402400,0.402000,0.363300,0.030000,0.060000,0.025961,0.478301,0.478115,0.478184
2004-06-03,1116.640000,0.524800,-0.203400,-0.120100,-0.103500,0.030300,0.053400,0.271000,0.258500,0.273900,0.040000,0.060000,-0.001435,0.485394,0.486605,0.485077
2004-06-04,1122.500000,1.596400,-0.111200,0.038600,0.040600,0.021800,0.112400,0.120500,0.302500,0.287900,0.050000,0.060000,-0.001247,0.488614,0.491247,0.488117
2004-06-07,1140.420000,0.154300,1.050900,0.456600,0.426700,0.350900,0.283700,0.323900,0.304700,0.445800,0.010000,0.060000,0.058315,0.491524,0.488965,0.492418
2004-06-08,1142.180100,-0.949900,0.862200,0.750100,0.380200,0.371500,0.317700,0.264900,0.302300,0.287700,0.020000,0.060000,0.042525,0.478216,0.476802,0.478388
2004-06-09,1131.330000,0.454300,-0.399800,0.258600,0.323800,0.112200,0.149500,0.134800,0.111400,0.161600,0.030000,0.060000,-0.005700,0.488856,0.488589,0.488849
2004-06-10,1136.470000,-0.983700,-0.251800,-0.115800,0.307000,0.349600,0.169100,0.192900,0.174700,0.149600,0.040000,0.060000,0.002330,0.508818,0.510495,0.508849
2004-06-14,1125.290000,0.597200,-0.267000,-0.497800,-0.333600,0.049200,0.127200,0.003800,0.045200,0.045400,0.010000,0.060000,0.123753,0.508186,0.505775,0.508819
2004-06-15,1132.010000,0.136900,-0.197600,0.020000,-0.224700,-0.148400,0.139700,0.193800,0.077600,0.106300,0.020000,0.060000,0.052527,0.475865,0.473945,0.475755
2004-06-16,1133.560100,-0.133200,0.365000,-0.085800,0.049300,-0.152300,-0.100900,0.139300,0.186700,0.084200,0.030000,0.060000,0.026655,0.494645,0.494663,0.494387
2004-06-17,1132.050000,0.262400,0.001800,0.199000,-0.097700,0.012700,-0.149200,-0.105500,0.105300,0.151100,0.040000,0.060000,0.025967,0.497828,0.499293,0.497707
2004-06-18,1135.020000,-0.415800,0.064400,0.088500,0.214700,-0.025600,0.054300,-0.090300,-0.059600,0.122600,0.050000,0.060000,0.021174,0.513022,0.515613,0.513078
2004-06-21,1130.300000,0.363600,-0.077300,-0.096000,-0.037700,0.088500,-0.090900,-0.013000,-0.131200,-0.099200,0.010000,0.060000,0.076639,0.510676,0.508161,0.511283
2004-06-22,1134.410000,0.850700,-0.026900,0.069400,0.018800,0.042400,0.134200,-0.026000,0.034000,-0.076200,0.020000,0.060000,0.079115,0.496975,0.495625,0.496989
2004-06-23,1144.060100,-0.298100,0.603900,0.265200,0.264300,0.185000,0.177000,0.236400,0.083700,0.124800,0.030000,0.060000,0.034446,0.496294,0.496189,0.496409
2004-06-24,1140.650000,-0.545300,0.273100,0.302700,0.123800,0.151300,0.104000,0.108700,0.169100,0.041000,0.040000,0.060000,0.022890,0.489770,0.491102,0.489271
2004-06-25,1134.430100,-0.095200,-0.423300,0.000600,0.090700,-0.010400,0.034900,0.010900,0.026600,0.089500,0.050000,0.060000,-0.004529,0.500676,0.503192,0.500334
2004-06-28,1133.350000,0.251500,-0.321900,-0.314200,-0.023300,0.053600,-0.024500,0.016300,-0.002300,0.013100,0.010000,0.060000,0.073352,0.510444,0.508012,0.511079
2004-06-29,1136.200000,0.408400,0.078000,-0.130700,-0.173000,0.031500,0.086500,0.014800,0.045700,0.025800,0.020000,0.060000,0.091824,0.501056,0.499804,0.501305
2004-06-30,1140.840000,-1.043100,0.328900,0.188000,0.004200,-0.056600,0.094100,0.132300,0.064000,0.085900,0.030000,0.060000,0.044249,0.487959,0.487630,0.487826
2004-07-01,1128.939900,-0.315300,-0.319900,-0.129500,-0.120900,-0.206400,-0.221900,-0.068700,-0.015000,-0.059500,0.040000,0.070000,0.013347,0.500653,0.501911,0.500210
2004-07-02,1125.380000,-0.814800,-0.685800,-0.318700,-0.175900,-0.159800,-0.224600,-0.235300,-0.099400,-0.048100,0.050000,0.070000,0.019304,0.516532,0.519337,0.516271
2004-07-06,1116.210000,0.189900,-0.567900,-0.730700,-0.443100,-0.303500,-0.268700,-0.308800,-0.307500,-0.178400,0.020000,0.070000,0.110127,0.530327,0.529199,0.530964
2004-07-07,1118.330000,-0.824400,-0.315500,-0.315800,-0.501500,-0.317400,-0.222000,-0.203800,-0.247100,-0.252900,0.030000,0.070000,0.085198,0.506747,0.506563,0.506562
2004-07-08,1109.110000,0.333600,-0.318800,-0.486600,-0.443700,-0.566800,-0.402000,-0.307800,-0.281100,-0.311000,0.040000,0.070000,0.063395,0.515060,0.516235,0.514617
2004-07-09,1112.810100,0.138400,-0.248400,-0.101800,-0.282100,-0.289000,-0.417700,-0.297900,-0.228500,-0.213600,0.050000,0.070000,0.024806,0.513537,0.516204,0.513040
2004-07-12,1114.350000,0.070900,0.235300,-0.119300,-0.041800,-0.198000,-0.217900,-0.338500,-0.243700,-0.188100,0.010000,0.070000,0.118062,0.524520,0.522090,0.525257
2004-07-13,1115.140000,-0.329100,0.104500,0.180400,-0.071700,-0.019200,-0.153200,-0.176700,-0.287500,-0.208900,0.020000,0.070000,0.077332,0.510637,0.509226,0.510982
2004-07-14,1111.470000,-0.430100,-0.129300,-0.040100,0.053000,-0.123300,-0.070900,-0.178400,-0.195800,-0.292200,0.030000,0.070000,0.061838,0.511818,0.511774,0.511636
2004-07-15,1106.689900,-0.478900,-0.380900,-0.229800,-0.137600,-0.043500,-0.174500,-0.122200,-0.209900,-0.221800,0.040000,0.070000,0.038003,0.516244,0.517655,0.516051
2004-07-16,1101.390000,-0.044500,-0.456500,-0.414200,-0.292200,-0.205800,-0.115900,-0.218000,-0.166700,-0.239800,0.050000,0.070000,0.055840,0.516366,0.519082,0.515829
2004-07-19,1100.900000,0.705800,-0.262900,-0.319400,-0.322100,-0.243000,-0.179100,-0.105800,-0.196500,-0.153200,0.010000,0.070000,0.093983,0.506743,0.503950,0.507154
2004-07-20,1108.670000,-1.334000,0.329500,0.059800,-0.063400,-0.117000,-0.085500,-0.053400,-0.005000,-0.096800,0.020000,0.070000,0.075219,0.499111,0.497765,0.499085
2004-07-21,1093.880000,0.270600,-0.318700,-0.227300,-0.290800,-0.319100,-0.321000,-0.264500,-0.213800,-0.152800,0.030000,0.070000,0.060836,0.512176,0.512126,0.512214
2004-07-22,1096.840000,-0.970100,-0.540000,-0.123100,-0.103400,-0.179000,-0.221400,-0.237100,-0.198200,-0.160500,0.040000,0.070000,0.030283,0.512558,0.513844,0.512378
2004-07-23,1086.200000,-0.196100,-0.351800,-0.685700,-0.335200,-0.276900,-0.311000,-0.328400,-0.328600,-0.283700,0.050000,0.070000,0.068291,0.538125,0.541079,0.538026
2004-07-26,1084.069900,0.992600,-0.588400,-0.300300,-0.564100,-0.307700,-0.263600,-0.294800,-0.312100,-0.314200,0.010000,0.070000,0.115085,0.506158,0.503335,0.506399
2004-07-27,1094.830000,0.053900,0.396100,-0.061600,0.021800,-0.253700,-0.092500,-0.085600,-0.135300,-0.168500,0.020000,0.070000,0.081062,0.507805,0.506335,0.507909
2004-07-28,1095.420000,0.457400,0.518200,0.281600,-0.032600,0.028200,-0.202300,-0.071500,-0.068100,-0.114300,0.030000,0.070000,0.050594,0.503312,0.503421,0.503206
2004-07-29,1100.430100,0.117200,0.255000,0.497200,0.325300,0.065700,0.099900,-0.107700,-0.005400,-0.009700,0.040000,0.070000,0.029665,0.499395,0.500599,0.499165
2004-07-30,1101.720000,0.444800,0.286100,0.208900,0.401800,0.283400,0.074400,0.102400,-0.079400,0.008300,0.050000,0.070000,-0.003648,0.515706,0.518467,0.515653
2004-08-02,1106.620000,-0.626200,0.280300,0.338500,0.267700,0.410100,0.310200,0.127500,0.145300,-0.020800,0.010000,0.080000,0.081054,0.494045,0.491560,0.494278
2004-08-03,1099.689900,-0.096400,-0.092000,-0.022400,0.096900,0.088300,0.236700,0.175600,0.032500,0.058900,0.020000,0.080000,0.054974,0.495023,0.493447,0.495218
2004-08-04,1098.630000,-1.632000,-0.363500,-0.093500,-0.040800,0.058300,0.057600,0.189200,0.141500,0.018100,0.030000,0.080000,0.017040,0.488455,0.488344,0.488050
2004-08-05,1080.700000,-1.548100,-0.871400,-0.790500,-0.479300,-0.359600,-0.223400,-0.183900,-0.038400,-0.055800,0.040000,0.080000,0.053585,0.513807,0.515252,0.513547
